NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Sex,Age,Study Type,Start Date,Primary Completion Date,Completion Date,Locations
NCT07098676,Haemodialysis Alters Hypercoagulability of Blood in Dialysis Patients,https://clinicaltrials.gov/study/NCT07098676,ENROLLING_BY_INVITATION,Healthy Individuals (Controls)|Vascular Surgery Patients With Acute Thrombosis|Dialysis Patients,,Ai Peng,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL,2024-11-20,2025-05-30,2026-06-30,"Department of Nephrology & Rheumatology, Shanghai Tenth People's Hospital, Shanghai, Shanghai, 200272, China"
NCT07098663,"Food Effect, Efficacy and Safety of MKP10241 in Healthy and Obese Adult Participants, With and Without Diabetes",https://clinicaltrials.gov/study/NCT07098663,NOT_YET_RECRUITING,Type 2 Diabetes Mellitus (T2DM)|Food Effect|Safety and Tolerability|Obesity,DRUG: MKP10241|DRUG: Placebo,Mankind Pharma Limited,George Clinical Pty Ltd,ALL,ADULT,INTERVENTIONAL,2025-07-21,2025-09-09,2025-12-04,"Veritus Research, Bayswater, Victoria, 3153, Australia"
NCT07098650,Haemdall: Developing a Quantitative MRI Biomarker of Infratentorial Superficial Siderosis of the Central Nervous System,https://clinicaltrials.gov/study/NCT07098650,NOT_YET_RECRUITING,Superficial Siderosis,,Perspectum,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL,2025-07-30,2026-10-31,2026-12-31,
NCT07098637,"The Effect of a Self-Compassionate Mindfulness Psychoeducation Program Implemented in Prison on Internalized Stigma, Emotion Regulation, and Forgiveness in Juvenile Delinquents",https://clinicaltrials.gov/study/NCT07098637,NOT_YET_RECRUITING,Juvenile Delinquency,BEHAVIORAL: Self-Compassionate Mindfulness Psychoeducation Program,Ondokuz Mayıs University,,MALE,"CHILD, ADULT",INTERVENTIONAL,2025-09-20,2025-11-20,2025-12-20,
NCT07098624,Clinical Study to Assess the Safety and Efficacy of ACV Moringa Effervescent Tablet Intake on Weight Management in Overweight and Class I Obese Study Participants,https://clinicaltrials.gov/study/NCT07098624,NOT_YET_RECRUITING,Obese or Overweight Healthy Volunteers,OTHER: ACV Moringa Effervescent Tablets 4.3 g|OTHER: Placebo Effervescent Tablets 4.3 g,NovoBliss Research Pvt Ltd,Zywie Ventures Pvt Ltd,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-07-24,2025-10-24,2025-11-04,
NCT07098611,A New Tool for Extubation Readiness in Mechanically Ventilated Patients: Readiness for EXtubation Score,https://clinicaltrials.gov/study/NCT07098611,RECRUITING,"Ventilator Weaning|Respiration, Artificial|Respiratory Failure|Extubation Readiness|Extubation Failure|Extubation Succeeded|Intensive Care Patients Invasively Ventilated|Weaning Invasive Mechanical Ventilation",,Medipol University,International Association of Non Invasive Ventilation|International Academy of Non Invasive Ventilation|International College of Experts of Non Invasive Ventilation,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL,2025-06-15,2025-12-30,2026-06-06,"University of Magallanes, Punta Arenas, Chile|Cairo University, Cairo, Egypt|Shahid Beheshti University of Medical Sciences, Tehran, Iran, Islamic Republic of|A.O.R.N. ""Dei Colli"" Monaldi Hospital, Napoli, Italy|Monaldi-Cotugno Hospital, Napoli, Italy|Hospital General Universitario Morales Meseguer, Murcia, Spain|İstanbul Medipol University, İstanbul, Turkey"
NCT07098598,Pancreatic Cancer Diagnosis With FAPI-PET Imaging,https://clinicaltrials.gov/study/NCT07098598,RECRUITING,"Positron Emission Tomography|Pancreatic Cancer|FAPI|Diagnostics|Recurrent Pancreatic Cancer|Oncologic Surgery|Imaging, Diagnostic|Staging",DEVICE: PET/CT,Turku University Hospital,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2024-10-09,2026-10,2026-10,"Turku PET Centre, Turku University Hospital, Turku, Finland"
NCT07098585,"To Compare and Evaluate the Oral Bioavailability of Lisdexamfetamine 70 mg Capsule With That of Elvanse® 70 mg Capsules, Hard Lisdexamfetamine Dimesylate in Healthy, Adult, Human Subjects Under Fasting Conditions.",https://clinicaltrials.gov/study/NCT07098585,COMPLETED,Attention Deficit/Hyperactivity Disorder (ADHD),"DRUG: Lisdexamfetamine capsule|DRUG: Elvanse® (Lisdexamfetamine dimesylate capsules, hard)",Humanis Saglık Anonim Sirketi,,ALL,ADULT,INTERVENTIONAL,2025-05-26,2025-06-06,2025-07-17,"Cliantha Research Limited, Ahmedabad, Gujarat, 380 051, India"
NCT07098572,Comparison of Four-Channel Functional Electrical Stimulation vs. One-Channel Electrical Stimulation on Moderate Arm/Hand Paresis in Subacute Stroke Patients,https://clinicaltrials.gov/study/NCT07098572,NOT_YET_RECRUITING,Moderate Arm Paresis|Ischemic Stroke,DEVICE: Cyclic single channel neuromuscular stimulation|DEVICE: Electromyogram-triggered 4 channel neuromuscular stimulation,MED-EL Elektromedizinische Geräte GesmbH,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-07-25,2028-01,2028-01,"KABEG Gailtal-Klinik LKH Hermagor, Hermagor, Carinthia, 9620, Austria|Kepler Universitätsklinikum Linz, Linz, Oberösterreich, 4021, Austria|Ö. Landeskrankenhaus Hochzirl - Natters, Standort Hochzirl, Zirl, Tirol, 6170, Austria"
NCT07098559,Effects of Bystander Model-Based Creative Drama on Empathy and Bullying Intervention in Middle School Students,https://clinicaltrials.gov/study/NCT07098559,NOT_YET_RECRUITING,Peer Bullying|Bystander Intervention|Emphaty,BEHAVIORAL: Creative drama,Gazi University,,ALL,CHILD,INTERVENTIONAL,2025-09,2026-01,2026-06,"Gazi University, Ankara, Turkey"
NCT07098546,'Bubble Time' in Pulmonary Embolism,https://clinicaltrials.gov/study/NCT07098546,ACTIVE_NOT_RECRUITING,Tanısal değerlilik,,Recep Tayyip Erdogan University Training and Research Hospital,Marmara University Pendik Training and Research Hospital|Gazi University|Akdeniz University Hospital,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL,2025-07-03,2025-10-15,2025-11-30,"Recep Tayyip Erdoğan Üniversitesi Rize Eğitim ve Araştırma Hastanesi, Rize, Merkez, 53020, Turkey"
NCT07098533,Cognicise Training for Seniors for Healthy Aging,https://clinicaltrials.gov/study/NCT07098533,COMPLETED,Depressive Symptom|Cognitive Functions|Quality of Life|Physical Fitness|Blood Biomarkers|Elderly (People Aged 65 or More)|Postural Stability|Fall Risk|Postmenopausal Women|Cardiopulmonary,BEHAVIORAL: Cognicise Training|BEHAVIORAL: Yoga Training,Poznan University of Physical Education,,FEMALE,OLDER_ADULT,INTERVENTIONAL,2023-04-04,2023-06-21,2023-06-21,"Poznan University of Physical Education, Poznań, Poland"
NCT07098520,Biomarkers of Steatohepatitis in Type 2 Diabetes Patients,https://clinicaltrials.gov/study/NCT07098520,NOT_YET_RECRUITING,Diabetes|Steatosis of Liver,"OTHER: No intervention, just observation",Faculty Hospital Kralovske Vinohrady,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL,2025-09-01,2026-03-30,2026-06-30,"University Hospital Kralovske Vinohrady, Prague, 100 00, Czechia"
NCT07098507,De-escalation in Axillary Surgery for Early-stage Breast Cancer,https://clinicaltrials.gov/study/NCT07098507,NOT_YET_RECRUITING,Omitting Sentinel Lymph Node Biopsy in Early-stage Breast Cancer,PROCEDURE: sentinel lymph node biopsy|PROCEDURE: omission of sentinel lymph node biopsy,Clinical Hospital Center Rijeka,,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-09-10,2033-09-10,2033-09-10,"Clinical Hospital Centre Rijeka, Rijeka, 51000, Croatia"
NCT07098494,Probiotics and Post-Pullthrough Hirschsprung's Disease-Associated Enterocolitis,https://clinicaltrials.gov/study/NCT07098494,COMPLETED,Hirschsprung Disease|Enterocolitis|Hirschsprung&#39;s Disease Associated Enterocolitis,DIETARY_SUPPLEMENT: Saccharomyces Boulardii Probiotic Supplement,Aswan University Hospital,,ALL,CHILD,INTERVENTIONAL,2018-01-01,2024-09-29,2024-09-30,"Aswan University Hospital, Aswan, Egypt"
NCT07098481,Access to Hepatitis C Treatment in Cameroon: Comparison of a Simplified Test and Treat Strategy to a Standard Strategy,https://clinicaltrials.gov/study/NCT07098481,NOT_YET_RECRUITING,Hepatitis C Virus Infection,DRUG: ACCESS+ strategy Epclusa 400/100 Oral Tablet|DRUG: ACCESS+ Strategy Vosevi 400/100/100 Oral Tablet|DRUG: Standard Strategy Vosevi 400/100/100 Oral Tablet|DRUG: Standard Strategy Epclusa 400/100 Oral Tablet,"ANRS, Emerging Infectious Diseases","IRD, Epidemiologie et Prevention, Montpelier, France|SESSTIM (IRD, Inserm, Université Aix-Marseille)|Centre de Recherche sur les Maladies Emergentes et Re-Emergentes (CREMER)|Faculté de Médecine et des Sciences Biomédicales, Université de Yaoundé I, Yaoundé, Cameroun|PharmAccess|Service d'hépato-gastroentérologie, Hôpital Saint Joseph, Marseille, France",ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-09-01,2027-12-31,2028-06-30,
NCT07098468,Myocardial Injury After Noncardiac Surgery (MINS) in Patients Undergoing Knee and Hip Arthroplasty,https://clinicaltrials.gov/study/NCT07098468,NOT_YET_RECRUITING,"MYOCARD INFARCTUS|Non Cardiac Surgery|ARTHROPLASTY, REPLACEMENT; ANESTHESIA",,Ankara City Hospital Bilkent,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL,2025-08-03,2026-01-01,2026-02-01,
NCT07098455,Comparative Effectiveness of Genicular Nerve Radiofrequency Thermocoagulation and Intra-Articular Pulsed Radiofrequency in the Management of Knee Osteoarthritis Pain,https://clinicaltrials.gov/study/NCT07098455,NOT_YET_RECRUITING,Knee Osteoarthristis|Radiofrequency Ablation,PROCEDURE: GNRFT- genicular nerve radiofrequency ablation|PROCEDURE: IAPRF- Intraarticular pulsed radiofrequency,Ankara City Hospital Bilkent,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-07-21,2026-02-01,2026-06-01,
NCT07098442,"The Effect of ""Standardized and Real Patient Interviews"" on Students' Self-Confidence and Self-Efficacy Levels in Nursing Process Education",https://clinicaltrials.gov/study/NCT07098442,COMPLETED,Nursing Student,BEHAVIORAL: Control Group|BEHAVIORAL: Online Interview Group|BEHAVIORAL: Clinical Real Patient Group,Akdeniz University,,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL,2021-09-15,2021-11-15,2022-01-30,"Nursing Faculty, Antalya, 07070, Turkey"
NCT07098429,Postoperative Pain After Instillation Of Bupivacaine During Laparoscopic Cholecystectomy,https://clinicaltrials.gov/study/NCT07098429,COMPLETED,Laparoscopic Cholecystectomy|Post Operative Analgesia|Bupivacaine,DRUG: Bupivacain (Postoperative)|DRUG: Normal (0.9%) saline,Recep Tayyip Erdogan Hospital Pakistan,,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL,2024-07-11,2025-04-20,2025-07-10,"Recep Tayyip Erdogan Hospital, Muzaffargarh, Pakistan, Muzaffargarh, Punjab, Pakistan"
NCT07098416,A Real-World Study About Anemia in Chronic Kidney Disease in China（DASHENG）,https://clinicaltrials.gov/study/NCT07098416,NOT_YET_RECRUITING,Anemia in Chronic Kidney Disease,,Wei Chen,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL,2025-08-01,2026-08-31,2027-08-31,"First Affiliated Hospital, Sun Yat-Sen University, Guangzhou, Guangdong, 510080, China"
NCT07098403,A Trial of SHR-1905 in Subjects With Severe Uncontrolled Asthma,https://clinicaltrials.gov/study/NCT07098403,NOT_YET_RECRUITING,Asthma,DRUG: SHR-1905 Injection|DRUG: SHR-1905 Placebo Injection,"Guangdong Hengrui Pharmaceutical Co., Ltd",,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-08,2028-01,2028-06,"The First Affiliated Hospital of Guangzhou Medical University, Guangzhou, Guangdong, 510830, China"
NCT07098390,"Effect of Progressive Muscle Relaxation on Fear of Falling, Pain, and Anxiety in Arthroplasty Patients",https://clinicaltrials.gov/study/NCT07098390,NOT_YET_RECRUITING,"Arthoplasty, Pain, Anxiety",BEHAVIORAL: Progressive Muscle Relaxation Exercise,Gazi University,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-07-28,2026-02-20,2026-03-25,
NCT07098377,Microbiota in Children With Severe Burn Injury,https://clinicaltrials.gov/study/NCT07098377,ACTIVE_NOT_RECRUITING,Burn,DIAGNOSTIC_TEST: nasopharyngeal swab for biological sample analysis,Fondazione Policlinico Universitario Agostino Gemelli IRCCS,,ALL,"CHILD, ADULT",INTERVENTIONAL,2025-04-07,2026-04,2026-07,"Fondazione Policlinico Universitario A. Gemelli IRCCS, Roma, 06132, Italy"
NCT07098364,ST-067 in Combination With CD19-Directed CAR T-Cell Therapy (Liso-cel) in Relapsed/Refractory Large B-Cell Lymphoma,https://clinicaltrials.gov/study/NCT07098364,NOT_YET_RECRUITING,"Recurrent Diffuse Large B-Cell Lymphoma|Recurrent Diffuse Large B-Cell Lymphoma, Not Otherwise Specified|Recurrent Grade 3b Follicular Lymphoma|Recurrent High-Grade B-Cell Lymphoma|Recurrent Indolent B-Cell Non-Hodgkin Lymphoma|Recurrent Primary Mediastinal Large B-Cell Lymphoma|Refractory Diffuse Large B-Cell Lymphoma|Refractory Diffuse Large B-Cell Lymphoma, Not Otherwise Specified|Refractory Grade 3b Follicular Lymphoma|Refractory High-Grade B-Cell Lymphoma|Refractory Indolent B-Cell Non-Hodgkin Lymphoma|Refractory Primary Mediastinal Large B-Cell Lymphoma",BIOLOGICAL: Vevoctadekin|PROCEDURE: Bone Marrow Aspiration|PROCEDURE: Bone Marrow Biopsy|PROCEDURE: Computed Tomography|PROCEDURE: Echocardiography Test|PROCEDURE: Leukapheresis|BIOLOGICAL: Lisocabtagene Maraleucel|PROCEDURE: Lumbar Puncture|PROCEDURE: Lymphodepletion Therapy|PROCEDURE: Multigated Acquisition Scan|PROCEDURE: Positron Emission Tomography|PROCEDURE: X-Ray Imaging|PROCEDURE: Biospecimen Collection,Fred Hutchinson Cancer Center,Simcha Therapeutics,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2026-01-01,2030-10-04,2043-10-04,"Fred Hutch/University of Washington Cancer Consortium, Seattle, Washington, 98109, United States"
NCT07098351,Efficacy and Safety of Nalfurafine Hydrochloride ODT for Moderate-to-Severe Pruritus in Patients on Peritoneal Dialysis,https://clinicaltrials.gov/study/NCT07098351,NOT_YET_RECRUITING,Adverse Event|Peritoneal Dialysis|Moderate-to-severe Pruritus|Chronic Kidney Disease-associated Itch,DRUG: Remitch,Guangdong Provincial People's Hospital,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-07-30,2026-06-30,2026-06-30,
NCT07098338,A Study of Novel Combinations in Non-Small Cell Lung Cancer (NSCLC),https://clinicaltrials.gov/study/NCT07098338,NOT_YET_RECRUITING,Non-Small Cell Lung Cancer,DRUG: Rilvegostomig|DRUG: Ramucirumab|DRUG: Dato-DXd,AstraZeneca,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-08-08,2026-09-08,2029-04-09,"Research Site, Santa Rosa, California, 95403, United States|Research Site, Atlanta, Georgia, 30318, United States|Research Site, Baltimore, Maryland, 21231, United States|Research Site, Houston, Texas, 77090, United States|Research Site, Fairfax, Virginia, 22031, United States|Research Site, Nedlands, 6009, Australia|Research Site, Woodville, 5011, Australia|Research Site, Chengdu, 610041, China|Research Site, Seongnam-si, 13496, Korea, Republic of|Research Site, Bangkok, 10330, Thailand|Research Site, Bangkok, 10400, Thailand|Research Site, Banphaeo, 74120, Thailand"
NCT07098325,Biological Reaction of Direct 3d Printed Retainers,https://clinicaltrials.gov/study/NCT07098325,RECRUITING,Orthodontic Retainers,DEVICE: retainer with .5 mm thickness|DEVICE: retainer with 1 mm thickness,Al-Azhar University,,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL,2025-10-01,2027-04-01,2027-06-01,"Faculty of Dental Medicine , Al-Azhar University, Assiut, Egypt"
NCT07098312,Impact of Creative Drama on Nursing Students' Cultural Competence,https://clinicaltrials.gov/study/NCT07098312,NOT_YET_RECRUITING,Cultural Competency,BEHAVIORAL: creative drama,Gazi University,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-07,2025-09,2025-10,"Gazi University, Ankara, Turkey"
NCT07098299,Metformin Combined With Chemotherapy and/or Immunotherapy in Solid Malignancies,https://clinicaltrials.gov/study/NCT07098299,NOT_YET_RECRUITING,Advanced Solid Tumor,DRUG: Metformin,Barbara Ann Karmanos Cancer Institute,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-07-21,2027-07-07,2028-07-07,
NCT07098286,Enhancing Resilience Among Patients With Stroke: Implementation of High Intensity Home-based Rehabilitation,https://clinicaltrials.gov/study/NCT07098286,NOT_YET_RECRUITING,Stroke|Stroke Rehabilitation,OTHER: high intensity home-based rehabilitation,Duke University,Claude D. Pepper Older American Independence Centers (OAICS)|Agency for Healthcare Research and Quality (AHRQ),ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL,2025-07-31,2026-07-31,2028-07-31,"Duke University, Durham, North Carolina, 27710, United States"
NCT07098273,Improving Hand Movement and Coordination in People With Multiple Sclerosis Using Transcranial Magnetic Stimulation (TMS) and Muscle Electrostimulation (FES) To Support Manual Dexterity and Daily Function,https://clinicaltrials.gov/study/NCT07098273,NOT_YET_RECRUITING,Multiple Sclerosis,DEVICE: TMS and FES- based rehabilitation|DEVICE: FES-based rehabilitation,Fondazione Don Carlo Gnocchi Onlus,Fondazione Italiana Sclerosi Multipla,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-10,2026-12,2027-05,"Fondazione Italiana Sclerosi Multipla, Genova, 16149, Italy|IRCCS ""Santa Maria Nascente"" - Fondazione Don Gnocchi, Milan, 20148, Italy"
NCT07098260,DECIDE to Improve Maternal Mental Health Care Delivery,https://clinicaltrials.gov/study/NCT07098260,RECRUITING,Mental Health Disorders,BEHAVIORAL: DECIDE for MOM Provider Training,"Rutgers, The State University of New Jersey",,ALL,ADULT,INTERVENTIONAL,2025-02-14,2026-06-30,2026-12-31,"Rutgers, the State University of New Jersey, Piscataway, New Jersey, 08854, United States"
NCT07098247,Exploring Photon-Counting CT for Enhanced Target Delineation and Dose Accuracy in Personalized Radiotherapy - ANTHEM,https://clinicaltrials.gov/study/NCT07098247,RECRUITING,Cancer,,Istituto Clinico Humanitas,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL,2025-04-04,2027-05,2027-05,"IRCCS Humanitas Research Hospital, Rozzano, Milan, 20089, Italy"
NCT07098234,Effect of Vitamin-D as an Adjuvant to Phototherapy in Reduction of Indirect Serum Bilirubin,https://clinicaltrials.gov/study/NCT07098234,COMPLETED,Hyperbilirubinemia,DRUG: Vitamin D3|PROCEDURE: Phototherapy,Muhammad Aamir Latif,,ALL,CHILD,INTERVENTIONAL,2024-07-01,2024-12-31,2024-12-31,"Mayo Hospital, Lahore, Punjab, 54000, Pakistan"
NCT07098221,Hydrogen-Rich Water and Resting Metabolism in Young Adults,https://clinicaltrials.gov/study/NCT07098221,NOT_YET_RECRUITING,Healthy Subjects or Volunteers,DIETARY_SUPPLEMENT: Molecular Hydrogen|DIETARY_SUPPLEMENT: Placebo Comparator,University of Novi Sad,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-09-01,2025-12-01,2025-12-01,
NCT07098208,The Effect of Twin Heart Meditation on Exam Anxiety of Nursing Students,https://clinicaltrials.gov/study/NCT07098208,COMPLETED,Exam Anxiety|Meditation,BEHAVIORAL: Twin Heart Meditation,"Near East University, Turkey",,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL,2024-05-01,2024-05-30,2024-05-30,"Near East University, Nicosia, KKTC (Turkish Republic Of Northern Cyprus),, 99138, Cyprus"
NCT07098195,To Evaluate the Performance and Safety of RisoR Crest Everolimus Eluting Coronary Stent System,https://clinicaltrials.gov/study/NCT07098195,NOT_YET_RECRUITING,Coronary Artery Disease|Coronary Artery Stenosis|Percutaneous Coronary Intervention|de Novo Lesions in Native Coronary Arteries,DEVICE: Coronary Stent,Poly Medicure Limited,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-08-18,2027-08-17,2028-01-17,
NCT07098182,Contribution of Preserving the Superior Left Colic Artery to the Vascularization of the Descending Colon Prior to Colorectal Anastomosis During Left-Sided or Rectal Resections for Colorectal or Ovarian Cancer. (Revascularisation Colique),https://clinicaltrials.gov/study/NCT07098182,NOT_YET_RECRUITING,Rectal Cancer|Colon Cancer|Ovarian Cancer,PROCEDURE: Clamping and restauration of arterial blood of the inferior mesenteric artery,Institut du Cancer de Montpellier - Val d'Aurelle,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-09,2026-10,2026-10,
NCT07098169,Randomized Clinical Trial of iTEST: A Blended Intervention Targeting Introspective Accuracy,https://clinicaltrials.gov/study/NCT07098169,NOT_YET_RECRUITING,Schizophrenia Disorders|Schizoaffective Disorder|Psychotic Disorder,BEHAVIORAL: iTEST|BEHAVIORAL: Active Control,"University of California, San Diego",National Institute of Mental Health (NIMH)|The University of Texas at Dallas|University of Miami,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-09-01,2028-02-01,2028-04-01,"UC San Diego, San Diego, California, 92093, United States|University of Miami, Miami, Florida, 33146, United States|University of Texas at Dallas, Dallas, Texas, 75080, United States"
NCT07098156,Neural Correlates of Autistic Individuals With Anorexia Nervosa,https://clinicaltrials.gov/study/NCT07098156,RECRUITING,Autism|Anorexia Nervosa,OTHER: Single Research Visit 3T MRI Research Scan|OTHER: Demographic and Behavioural Questionnaires,University of Aberdeen,NHS Grampian,ALL,ADULT,OBSERVATIONAL,2025-07,2026-01,2026-01,"Lilian Sutton Building, Aberdeen, Aberdeen City, AB25 2ZD, United Kingdom|NHS Grampian Eating Disorder Services, Aberdeen, Aberdeen City, AB25 2ZD, United Kingdom"
NCT07098143,An Application Provides Personalized Suggestions Based on Secondary Prevention Risk Factors to Stroke Patients,https://clinicaltrials.gov/study/NCT07098143,NOT_YET_RECRUITING,Acute Ischemic Stroke,OTHER: Risk factor management,"Xuanwu Hospital, Beijing",,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-07-25,2027-07-24,2028-07-24,
NCT07098130,Comparative Study of Two Ultrasound-guided Percutaneous Neuromodulation Protocols on Maximal Handgrip Strength.,https://clinicaltrials.gov/study/NCT07098130,NOT_YET_RECRUITING,Healthy Participants,OTHER: US-guided PNM 100 Hz|OTHER: US-guided PNM 10 Hz,Universidad de Zaragoza,,ALL,ADULT,INTERVENTIONAL,2025-08-01,2025-11-01,2026-01-01,"University of Zaragoza, Zaragoza, 50009, Spain"
NCT07098117,"A Randomized, Double-blind, Placebo-controlled Phase I Clinical Trial to Evaluate the Safety and Pharmacokinetic Profile of Single and Multiple Dose Escalation Topical Dermal Administration of SHR0302 Alkali Gel in Healthy Subjects",https://clinicaltrials.gov/study/NCT07098117,COMPLETED,Preoperative Sedation of Adults,DRUG: SHR0302 Base Gel|DRUG: SHR0302 Base Gel Placebo,"Jiangsu HengRui Medicine Co., Ltd.",,ALL,ADULT,INTERVENTIONAL,2024-06-19,2024-07-31,2024-07-31,"The First Hospital of Jilin University, Changchun, Jilin, 200433, China"
NCT07098104,A Benefit Population Atlas of nICT Versus nCT for LAGC,https://clinicaltrials.gov/study/NCT07098104,COMPLETED,Gastric Cancer,DRUG: Immunotherapy,Cheng Chen,,ALL,"CHILD, ADULT, OLDER_ADULT",OBSERVATIONAL,2019-11-01,2023-12-31,2025-05-01,"Jiangsu Cancer Hospital, Nanjing, Jiangsu, 210009, China"
NCT07098091,"Evaluate the Safety, Tolerability, Pharmacokinetics, Pharmacodynamics of YD0293 in Healthy Subjects",https://clinicaltrials.gov/study/NCT07098091,ENROLLING_BY_INVITATION,Healthy Participants,DRUG: YD0293|DRUG: YD0293 placebo,"Shanghai Huilun Pharmaceutical Co., Ltd.",,ALL,ADULT,INTERVENTIONAL,2025-02-26,2025-12-31,2025-12-31,"The Second Affiliated Hospital of Soochow University, Suzhou, Jiangsu, China"
NCT07098078,Domperidone and the Risk of Serious Adverse Events,https://clinicaltrials.gov/study/NCT07098078,COMPLETED,Chronic Kidney Disease (CKD),DRUG: Domperidone (drug),London Health Sciences Centre Research Institute OR Lawson Research Institute of St. Joseph's,Canadian Institutes of Health Research (CIHR),ALL,OLDER_ADULT,OBSERVATIONAL,2008-01-01,2024-09-30,2024-10-30,"London Health Sciences Centre Research Institute, London, Ontario, Canada"
NCT07098065,Health Warnings and Counseling for Smoking Cessation,https://clinicaltrials.gov/study/NCT07098065,NOT_YET_RECRUITING,Tobacco Cessation|Health Warning Label|Hypertension|Non Communicable Chronic Diseases,BEHAVIORAL: Graphical health warnings|BEHAVIORAL: Graphical health warnings plus pharmacist-led counselling|OTHER: Routine pharmacy services (no intervention),Hitotsubashi University,Global Public Health Research Foundation,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-09-01,2026-12-31,2026-12-31,
NCT07098052,A Study of HDM2020 in Patients With Advanced Solid Tumors,https://clinicaltrials.gov/study/NCT07098052,RECRUITING,Solid Tumor,DRUG: HDM2020,"Hangzhou Zhongmei Huadong Pharmaceutical Co., Ltd.",,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-08-11,2026-09-30,2027-05-30,"Sun Yat-sen University Cancer Center, Guangzhou, Guangdong, 510060, China"
NCT07098039,Cardio-Fit2: Impact of a Cardiac Rehabilitation Program in Patients With Cardiovascular Disease,https://clinicaltrials.gov/study/NCT07098039,NOT_YET_RECRUITING,Cardiovascular Diseases (CVD)|Cardiac Rehabilitation,OTHER: Semi-presential or hybrid group|OTHER: Hospital Cardiac Rehabilitation,Hospital Virgen de la Luz,University of Castilla-La Mancha,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-09-01,2025-11-30,2025-12-31,"Hospital Virgen de la Luz, Cuenca, 16002, Spain"
NCT07098026,Shenqi Fuwei Mixture Combined With Chemotherapy Neoadjuvant Therapy for Locally Advanced Gastric Cancer,https://clinicaltrials.gov/study/NCT07098026,RECRUITING,"Gastric Cancer, Adenocarcinoma",DRUG: Shenqi Fuwei Mixture|DRUG: Shenqi Fuwei Mixture Placebo,Hunan Cancer Hospital,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-05-01,2028-12-31,2028-12-31,"Hunan Cancer Hospital, Changsha, Hunan, 410013, China"
NCT07098013,Unguided Internet-based Relaxation Program for Anxiety,https://clinicaltrials.gov/study/NCT07098013,COMPLETED,Anxiety|Stress (Psychology),BEHAVIORAL: Relaxation Self-Coach,Eotvos Lorand University,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2023-06-03,2024-04-03,2024-04-30,"Eötvös Loránd University PPK Psychology Department, Budapest, Hungary"
NCT07098000,The Role of Confocal Microscopy in Estimating Dupilumab Treatment Response for Moderate/Severe Atopic Dermatitis,https://clinicaltrials.gov/study/NCT07098000,ACTIVE_NOT_RECRUITING,Atopic Dermatitis,,Hospital Italiano de Buenos Aires,,ALL,"CHILD, ADULT, OLDER_ADULT",OBSERVATIONAL,2024-04-24,2025-12-12,2026-04-12,"Hospital Italiano de Buenos Aires, Buenos Aires, 1199, Argentina"
